name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Enigma,Steel,Sit Down,55.0,16.0,530.0,0.0,Schwarzkopf,Pleasurewood Hills,status.operating,52.50703189999999,1.7444031
Snake In The Grass,Steel,Sit Down,36.0,8.0,360.0,0.0,Zierer,Pleasurewood Hills,status.operating,52.50703189999999,1.7444031
Mouse trap,Steel,Spinning,47.0,13.0,420.0,0.0,Reverchon,Pleasurewood Hills,status.closed.definitely,52.50703189999999,1.7444031
Família Expressz,Steel,Sit Down,40.0,7.0,195.0,0.0,Pinfari,Vidámpark,status.operating,47.5094357,19.0570253
Hullámvasút,Steel,Sit Down,,17.0,980.0,0.0,ACE Coaster Classic,Vidámpark,status.operating,47.5094357,19.0570253
Kukomotív,Steel,Sit Down,,,,0.0,D.P.V. Rides,Vidámpark,status.operating,47.5094357,19.0570253
Looping Star,Steel,Sit Down,77.0,25.0,592.0,1.0,Schwarzkopf,Vidámpark,status.operating,47.5094357,19.0570253
Kumba,Steel,Inverted,80.0,33.0,689.0,5.0,Vekoma,Superland,status.operating,59.2962747,11.0644607
Loop 2000,Steel,Sit Down,,11.0,365.0,1.0,Pinfari,Superland,status.closed.definitely,59.2962747,11.0644607
Rakevet Harim Leyladim,na,Sit Down,,4.0,80.0,,Zamperla,Superland,status.operating,59.2962747,11.0644607
Hello Kitty Angel Coaster,Steel,Sit Down,,,,0.0,Zamperla,Seibuen Yuenchi,status.operating,35.76896,139.4405813
Loop Screw,Steel,Sit Down,80.0,30.0,,3.0,Togo,Seibuen Yuenchi,status.closed.definitely,35.76896,139.4405813
Bandit,Steel,Sit Down,110.0,60.0,1560.0,0.0,Togo,Yomiuriland,status.operating,35.6249403,139.5175677
Standing & Loop Coaster,Steel,Stand Up,,25.0,,1.0,Togo,Yomiuriland,status.operating,35.6249403,139.5175677
Wan Wan Coaster Wandit,Steel,Sit Down,30.0,6.0,148.0,0.0,Hoei Sangyo,Yomiuriland,status.operating,35.6249403,139.5175677
White Canyon,Steel,Sit Down,84.0,35.0,1100.0,0.0,RCCA,Yomiuriland,status.closed.definitely,35.6249403,139.5175677
SL Coaster,Steel,Sit Down,,,,0.0,Togo,Yomiuriland,status.closed.definitely,35.6249403,139.5175677
Spin Runway,Steel,Spinning,45.0,14.0,448.0,0.0,Gerstlauer,Yomiuriland,status.operating,35.6249403,139.5175677
Doo Wopper,Steel,Sit Down,,11.0,270.0,0.0,Zamperla,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Flitzer,Steel,Sit Down,,,,0.0,Zierer,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Fly the Great Nor'Easter,Steel,Inverted,89.0,35.0,661.0,5.0,Vekoma,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Great White,Wooden,Sit Down,81.0,34.0,1006.0,0.0,CCI,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Rollies Coaster,Steel,Sit Down,,,,0.0,Pinfari,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Sea Serpent,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Wild Whizzer,na,Spinning,,,,,SBF,Morey's Piers,status.operating,38.9857095,-74.80941279999999
Blauer Enzian,Steel,Sit Down,,,,0.0,Mack,Freizeit-Land Geiselwind,status.operating,49.7794639,10.4566002
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Freizeit-Land Geiselwind,status.operating,49.7794639,10.4566002
Drehgondelbahn,Steel,Spinning,,,,0.0,Zierer,Freizeit-Land Geiselwind,status.operating,49.7794639,10.4566002
Marienkäferbahn,Steel,Sit Down,,,,0.0,Zierer,Freizeit-Land Geiselwind,status.operating,49.7794639,10.4566002
Caterpillar Capers,Steel,Sit Down,,,,0.0,Pinfari,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
Dragon Flyer,Steel,Sit Down,,,,0.0,na,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
Gauntlet,Steel,Sit Down,,,,0.0,Pinfari,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
Junior Dragon Coaster,Steel,Sit Down,,,,0.0,na,Camelot Theme Park,status.closed.definitely,53.63522680000001,-2.6989014
